show_id,type,title,budget
s663,Movie,Drain the Titanic,0
s664,TV Show,First Class Chefs: Family Style,
s665,Movie,Hacksaw,0
s666,Movie,Holes,20000000
s667,Movie,"Marvel: 75 Years, From Pulp to Pop!",0
s668,Movie,Marvel Rising: Battle of the Bands,0
s669,TV Show,One Strange Rock,
s670,TV Show,Out There with Jack Randall,
s671,Movie,Super Rhino,0
s672,TV Show,The Proud Family,
s673,TV Show,The Super Hero Squad Show,
s674,TV Show,Year Million,
s675,Movie,Forky Asks a Question: What Is a Pet?,0
s676,Movie,Star Wars: The Last Jedi,200000000
s677,Movie,Forky Asks a Question: What Is a Leader?,0
s678,Movie,George of the Jungle 2,12000000
s679,Movie,High School Musical: The Musical: The Series: The Special,0
s680,TV Show,Pick of the Litter,
s681,Movie,Togo,0
s682,Movie,Forky Asks a Question: What Is a Computer?,0
s683,Movie,Wind,0
s684,Movie,Forky Asks a Question: What Is Love?,0
s685,Movie,One Day at Disney,0
s686,Movie,Thor: Ragnarok,180000000
s687,TV Show,The Lion Guard,
s688,Movie,One Day at Disney,0
s689,TV Show,Star vs. the Forces of Evil,
s690,Movie,Expedition Amelia,0
s691,Movie,Glory Road,0
s692,TV Show,Henry Hugglemonster,
s693,Movie,Incredible! The Story of Dr. Pol,0
s694,Movie,Marvel Rising: Chasing Ghosts,0
s695,Movie,Marvel Rising: Heart of Iron,0
s696,TV Show,Miles from Tomorrowland,
s697,TV Show,Sheriff Callie's Wild West,
s698,TV Show,Supercar Megabuild,
s699,TV Show,The Incredible Dr. Pol,
s700,Movie,Coco,175000000
s701,Movie,Coco,175000000
s702,Movie,Forky Asks a Question: What Is Time?,0
s703,Movie,The Little Mermaid Live!,0
s704,Movie,Forky Asks a Question: What Is Art?,0
s705,TV Show,Mickey and the Roadster Racers,
s706,Movie,Mickey Mouse Happy Birthday Show,0
s707,Movie,Forky Asks a Question: What Is a Friend?,0
s708,Movie,10 Things I Hate About You,16000000
s709,Movie,101 Dalmatians,54000000
s710,Movie,101 Dalmatians II: Patch's London Adventure,0
s711,Movie,102 Dalmatians,85000000
s712,Movie,12 Dates of Christmas,0
s713,Movie,"20,000 Leagues Under the Sea",5000000
s714,Movie,A Bug's Life,120000000
s715,Movie,A Goofy Movie,18000000
s716,Movie,A Kid in King Arthur's Court,0
s717,Movie,A Knight for a Day,0
s718,Movie,A Ring of Endless Light,0
s719,Movie,Aladdin,28000000
s720,Movie,Aladdin and the King of Thieves,0
s721,Movie,The Return of Jafar,3500000
s722,Movie,Alice in Wonderland,200000000
s723,Movie,Aliens of the Deep,0
s724,Movie,Alley Cats Strike,0
s725,Movie,Almost Angels,0
s726,Movie,America's Heart and Soul,0
s727,Movie,Amy,0
s728,Movie,An Extremely Goofy Movie,0
s729,TV Show,Andi Mack,
s730,Movie,Annie,65000000
s731,Movie,Apollo: Missions to the Moon,0
s732,Movie,Atlantis Rising,0
s733,Movie,Atlantis: Milo's Return,0
s734,Movie,Atlantis: The Lost Empire,120000000
s735,Movie,Auntie Edna,0
s736,Movie,Avatar,237000000
s737,Movie,Babes in the Woods,16855
s738,Movie,Babes in Toyland,0
s739,Movie,Bambi,858000
s740,Movie,Bambi II,0
s741,Movie,Bao,0
s742,Movie,Beach Picnic,0
s743,Movie,Bearly Asleep,0
s744,Movie,Belle's Magical World,0
s745,Movie,Beauty and the Beast: The Enchanted Christmas,0
s746,Movie,Beezy Bear,0
s747,Movie,Before the Flood,0
s748,Movie,Benji the Hunted,0
s749,TV Show,Best Friends Whenever,
s750,TV Show,Big City Greens,
s751,Movie,Big Hero 6,165000000
s752,TV Show,Big Hero 6 The Series,
s753,Movie,Bizarre Dinosaurs,0
s754,Movie,Blank Check,13000000
s755,Movie,Boat Builders,0
s756,Movie,Bolt,150000000
s757,Movie,Bone Bandit,0
s758,TV Show,Bonkers,
s759,Movie,Boundin',0
s760,TV Show,Boy Meets World,
s761,Movie,Brave,185000000
s762,Movie,The Brave Little Toaster to the Rescue,0
s763,Movie,Breaking2,0
s764,Movie,Brink!,0
s765,Movie,Brother Bear,128000000
s766,Movie,Brother Bear 2,0
s767,Movie,Buffalo Dreams,0
s768,TV Show,Bug Juice: My Adventures at Camp,
s769,Movie,BURN·E,0
s770,Movie,Cadet Kelly,0
s771,Movie,Camp Nowhere,0
s772,Movie,Camp Rock,0
s773,Movie,Camp Rock 2: The Final Jam,0
s774,Movie,Can of Worms,0
s775,Movie,Candleshoe,0
s776,Movie,Canine Caddy,0
s777,Movie,Cars,120000000
s778,Movie,Cars 2,200000000
s779,Movie,Cars 3,175000000
s780,Movie,Air Mater,0
s781,Movie,Heavy Metal Mater,0
s782,Movie,Hiccups,0
s783,Movie,Mater Private Eye,0
s784,Movie,Mater the Greater,0
s785,Movie,Monster Truck Mater,0
s786,Movie,The Radiator Springs 500½,0
s787,Movie,Casebusters,0
s788,Movie,Cheetah,5000000
s789,Movie,Chef Donald,0
s790,Movie,Chicken Little,150000000
s791,Movie,Chip 'n Dale: Rescue Rangers,0
s792,Movie,Chip an' Dale,0
s793,Movie,Cinderella,2900000
s794,Movie,Cinderella II: Dreams Come True,5000000
s795,Movie,Cinderella III: A Twist in Time,0
s796,Movie,Clock Cleaners,0
s797,Movie,Cloud 9,0
s798,Movie,College Road Trip,25000000
s799,Movie,Confessions of a Teenage Drama Queen,15000000
s800,TV Show,Coop & Cami Ask The World,
s801,Movie,Corn Chips,0
s802,Movie,Cow Belles,5000000
s803,TV Show,Crash & Bernstein,
s804,Movie,Dadnapped,4500000
s805,Movie,Darby O'Gill and the Little People,0
s806,TV Show,Darkwing Duck,
s807,Movie,Davy Crockett and the River Pirates,0
s808,Movie,"Davy Crockett, King of the Wild Frontier",0
s809,Movie,Day & Night,0
s810,Movie,Decorating Disney: Holiday Magic,0
s811,Movie,Deep Blue,0
s812,Movie,Descendants 2,0
s813,Movie,Diary of a Wimpy Kid,0
s814,Movie,Dinosaur,127500000
s815,Movie,Adventures in Babysitting,9000000
s816,Movie,Avalon High,0
s817,Movie,Bad Hair Day,0
s818,TV Show,Bizaardvark,
s819,Movie,Den Brother,0
s820,Movie,Descendants,0
s821,TV Show,Descendants: Wicked World,
s822,TV Show,DuckTales,
s823,TV Show,The Evermoor Chronicles,
s824,TV Show,Disney Family Sundays,
s825,TV Show,Fast Layne,
s826,Movie,Girl vs. Monster,0
s827,TV Show,Gravity Falls,
s828,TV Show,Gravity Falls Shorts,
s829,TV Show,Captain Jake and the Never Land Pirates,
s830,TV Show,JONAS L.A.,
s831,TV Show,Disney Junior Music Nursery Rhymes,
s832,TV Show,K.C. Undercover,
s833,TV Show,Lab Rats: Elite Force,
s834,TV Show,Legend of the Three Caballeros,
s835,TV Show,Mickey Mouse Clubhouse,
s836,TV Show,Milo Murphy's Law,
s837,TV Show,Minnie's Bow-Toons,
s838,TV Show,Stuck in the Middle,
s839,TV Show,Take Two with Phineas and Ferb,
s840,TV Show,Rapunzel's Tangled Adventure,
s841,Movie,Under the Sea: A Descendants Story,0
s842,TV Show,Disney's Adventures of the Gummi Bears,
s843,TV Show,Doug,
s844,TV Show,Disney's Fairy Tale Weddings,
s845,TV Show,Disney's Fairy Tale Weddings,
s846,TV Show,Hercules,
s847,TV Show,Kim Possible,
s848,TV Show,Little Einsteins,
s849,TV Show,Mighty Ducks: The Animated Series,
s850,TV Show,Recess,
s851,TV Show,The Emperor's New School,
s852,Movie,The Kid,65000000
s853,TV Show,The Little Mermaid,
s854,Movie,Disneyland Around the Seasons,0
s855,Movie,African Cats,5000000
s856,Movie,Bears,0
s857,Movie,Born in China,0
s858,Movie,Chimpanzee,5000000
s859,Movie,The Crimson Wing: Mystery of the Flamingos,0
s860,Movie,Monkey Kingdom,0
s861,Movie,Wings of Life,0
s862,TV Show,Dog Whisperer,
s863,Movie,Don't Look Under the Bed,0
s864,Movie,Donald's Golf Game,0
s865,Movie,Donald's Tire Trouble,0
s866,Movie,Double Teamed,0
s867,Movie,Doug's 1st Movie,0
s868,TV Show,"Dr. T, Lone Star Vet",
s869,Movie,DuckTales: The Movie - Treasure of the Lost Lamp,0
s870,Movie,Dug's Special Mission,0
s871,Movie,Dumbo,812000
s872,Movie,Early to Bed,0
s873,Movie,Earth Live,0
s874,Movie,Easter Island Unsolved,0
s875,Movie,Eddie's Million Dollar Cook Off,0
s876,Movie,Eight Below,40000000
s877,TV Show,Elena of Avalor,
s878,Movie,Emil and the Detectives,0
s879,Movie,Empire of Dreams: The Story of the Star Wars Trilogy,0
s880,TV Show,Encore!,
s881,Movie,Escape to Witch Mountain,0
s882,TV Show,Even Stevens,
s883,Movie,Expedition Mars,0
s884,Movie,Fantasia,2280000
s885,Movie,Fantasia 2000,80000000
s886,TV Show,Fantastic Four,
s887,TV Show,Fantastic Four: World's Greatest Heroes,
s888,Movie,Ferdinand the Bull,66260
s889,Movie,Finding Dory,200000000
s890,Movie,Finding Nemo,94000000
s891,Movie,First Kid,0
s892,Movie,Flight of the Navigator,9000000
s893,Movie,Float,0
s894,Movie,Flowers and Trees,15887
s895,Movie,Flubber,80000000
s896,Movie,Food for Feudin',0
s897,Movie,For the Birds,0
s898,Movie,Forky Asks a Question: What Is Money?,0
s899,Movie,Frank and Ollie,0
s900,Movie,Frankenweenie,39000000
s901,Movie,Freaky Friday,26000000
s902,Movie,Free Solo,0
s903,Movie,Frenemies,0
s904,Movie,Frozen,150000000
s905,Movie,Full-Court Miracle,0
s906,Movie,Fun and Fancy Free,0
s907,Movie,Fuzzbucket,0
s908,TV Show,Gargoyles,
s909,Movie,Geek Charming,0
s910,Movie,Genius,0
s911,Movie,George & A.J.,0
s912,Movie,Geri's Game,0
s913,Movie,Get a Clue,0
s914,Movie,Giants of the Deep Blue,0
s915,TV Show,Girl Meets World,
s916,Movie,Go Figure,0
s917,Movie,Going to the Mat,0
s918,TV Show,Good Luck Charlie,
s919,Movie,"Good Luck Charlie, It's Christmas!",0
s920,TV Show,Goof Troop,
s921,Movie,Gotta Kick It Up!,0
s922,Movie,Grand Canyonscope,0
s923,Movie,The Grasshopper and the Ants,22120
s924,TV Show,Great Migrations,
s925,Movie,The Adventures of Greyfriars Bobby,0
s926,Movie,Gus,0
s927,Movie,Halloweentown,0
s928,Movie,Halloweentown High,0
s929,Movie,Halloweentown II: Kalabar's Revenge,0
s930,TV Show,Handy Manny,
s931,TV Show,Hannah Montana,
s932,Movie,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,7000000
s933,Movie,Hannah Montana: The Movie,35000000
s934,Movie,Hatching Pete,0
s935,Movie,Hawaiian Holiday,0
s936,Movie,Heavyweights,10000000
s937,Movie,Herbie Goes Bananas,0
s938,Movie,Herbie Goes to Monte Carlo,0
s939,Movie,Herbie Rides Again,0
s940,Movie,Hercules,85000000
s941,Movie,High School Musical,4200000
s942,Movie,High School Musical 2,0
s943,Movie,High School Musical 3: Senior Year,11000000
s944,TV Show,High School Musical: The Musical: The Series,
s945,Movie,Hocus Pocus,28000000
s946,Movie,Home on the Range,110000000
s947,Movie,"Honey, I Blew Up the Kid",40000000
s948,Movie,"Honey, I Shrunk the Kids",18000000
s949,Movie,"Honey, We Shrunk Ourselves",7000000
s950,Movie,Horse Sense,0
s951,TV Show,Hostile Planet,
s952,Movie,Hounded,0
s953,Movie,How Dogs Got Their Shapes,0
s954,Movie,How to Build a Better Boy,0
s955,Movie,How to Fish,0
s956,Movie,How to Swim,0
s957,TV Show,Marvel's Hulk and the Agents of S.M.A.S.H.,
s958,Movie,I'll Be Home for Christmas,30000000
s959,Movie,Ice Age: The Great Egg-Scapade,0
s960,Movie,Ice Princess,25000000
s961,Movie,Inner Workings,0
s962,Movie,Inside Out,175000000
s963,Movie,Inspector Gadget,75000000
s964,Movie,Inspector Gadget 2,12000000
s965,Movie,Into the Grand Canyon,0
s966,Movie,Into the Okavango,0
s967,Movie,Invincible,0
s968,Movie,Invisible Sister,0
s969,TV Show,Iron Man,
s970,TV Show,Iron Man: Armored Adventures,
s971,Movie,Iron Will,0
s972,Movie,Jack,45000000
s973,Movie,Jack-Jack Attack,0
s974,Movie,James and the Giant Peach,38000000
s975,Movie,Jane,0
s976,TV Show,Jessie,
s978,Movie,Johnny Kapahala: Back on Board,0
s979,Movie,Johnny Tsunami,0
s980,Movie,Jonas Brothers: The Concert Experience,0
s981,Movie,Journey to Shark Eden,0
s982,Movie,Journey to the Center of the Earth,45000000
s983,Movie,Jump In!,0
s984,Movie,Jumping Ship,0
s985,Movie,Jungle 2 Jungle,32000000
s986,Movie,Jungle Cat,0
s987,Movie,Kazaam,20000000
s988,TV Show,Kickin' It,
s989,Movie,Kim Possible,0
s990,Movie,Kim Possible: So the Drama,0
s991,Movie,Kingdom of the Apes: Battle Lines,0
s992,Movie,Kingdom of the Blue Whale,0
s993,TV Show,Kingdom of the White Wolf,
s994,Movie,Kitbull,0
s995,Movie,Knick Knack,0
s996,Movie,Kronk's New Groove,0
s997,Movie,La Luna,0
s998,TV Show,Lab Rats,
s999,Movie,Lady and the Tramp,4000000
s1000,Movie,Lava,0
s1001,Movie,LEGO Frozen Northern Lights,0
s1002,TV Show,LEGO Star Wars: All-Stars,
s1003,TV Show,LEGO Star Wars: All-Stars,
s1004,TV Show,LEGO Star Wars: Droid Tales,
s1005,TV Show,LEGO Star Wars : The Resistance Rises,
s1006,TV Show,LEGO Star Wars: The Freemaker Adventures,
s1007,TV Show,LEGO Star Wars: The Freemaker Adventures,
s1008,TV Show,LEGO Star Wars -  The New Yoda Chronicles,
s1009,TV Show,LEGO Star Wars -  The New Yoda Chronicles,
s1010,TV Show,LEGO Star Wars -  The New Yoda Chronicles,
s1011,TV Show,LEGO Star Wars -  The New Yoda Chronicles,
s1012,TV Show,LEGO Star Wars -  The New Yoda Chronicles,
s1013,Movie,Lemonade Mouth,0
s1014,Movie,Lend a Paw,0
s1015,Movie,Leroy & Stitch,0
s1016,Movie,Let It Shine,0
s1017,Movie,Life Is Ruff,0
s1018,Movie,Life with Mikey,2000000
s1019,Movie,Life-Size 2,0
s1020,Movie,Lifted,0
s1021,Movie,Lilo & Stitch,80000000
s1022,Movie,Lilo & Stitch 2: Stitch Has a Glitch,0
s1023,TV Show,Lizzie McGuire,
s1024,Movie,Lonesome Ghosts,0
s1025,TV Show,Lost Treasures of the Maya,
s1026,Movie,Lou,0
s1027,Movie,The Luck of the Irish,0
s1028,Movie,Luxo Jr.,0
s1029,Movie,Magician Mickey,0
s1030,Movie,Mail Dog,0
s1031,Movie,Man Among Cheetahs,0
s1032,Movie,MARS: Inside SpaceX,0
s1034,TV Show,Marvel Rising: Initation,
s1035,Movie,Marvel Rising: Secret Warriors,0
s1036,Movie,Marvel Studios: Assembling a Universe,0
s1037,Movie,Marvel Studios: Expanding the Universe,0
s1038,Movie,Ant-Man,130000000
s1039,Movie,Avengers: Age of Ultron,365000000
s1040,Movie,Avengers: Endgame,356000000
s1041,Movie,Captain America: Civil War,250000000
s1042,Movie,Captain America: The First Avenger,140000000
s1043,Movie,Captain America: The Winter Soldier,170000000
s1044,Movie,Captain Marvel,152000000
s1045,Movie,Doctor Strange,165000000
s1046,Movie,Guardians of the Galaxy,170000000
s1047,Movie,Guardians of the Galaxy Vol. 2,200000000
s1048,Movie,Iron Man,140000000
s1049,Movie,Iron Man 2,200000000
s1050,Movie,Iron Man 3,200000000
s1051,Movie,The Avengers,220000000
s1052,Movie,Thor,150000000
s1053,Movie,Thor: The Dark World,170000000
s1054,TV Show,Marvel's Ultimate Spider-Man,
s1055,TV Show,Marvel's Agent Carter,
s1056,Movie,Ant-Man,130000000
s1057,TV Show,Marvel's Avengers Assemble,
s1059,TV Show,Marvel's Guardians of the Galaxy,
s1061,TV Show,Marvel's Hero Project,
s1062,TV Show,Marvel's Inhumans,
s1063,TV Show,Marvel's Rocket & Groot,
s1064,TV Show,Marvel's Ultimate Comics,
s1065,Movie,Mary Poppins,6000000
s1066,Movie,Mater and the Ghostlight,0
s1067,Movie,Meet the Deedles,24000000
s1068,Movie,Meet the Robinsons,150000000
s1069,Movie,Melody Time,2000000
s1070,Movie,Mickey Down Under,0
s1071,TV Show,Mickey Mouse,
s1072,TV Show,The Mickey Mouse Club,
s1073,Movie,"Mickey, Donald, Goofy: The Three Musketeers",0
s1074,Movie,Mickey's Birthday Party,0
s1075,Movie,Mickey's Christmas Carol,3000000
s1076,Movie,Mickey's Delayed Date,0
s1077,Movie,Mickey's Once Upon a Christmas,0
s1078,Movie,Mickey's Rival,0
s1079,Movie,Mickey's Trailer,0
s1080,Movie,Mickey's Twice Upon a Christmas,10000000
s1081,Movie,Mighty Joe Young,90000000
s1082,Movie,Mike's New Car,0
s1083,Movie,Minutemen,5000000
s1084,Movie,Miracle,28000000
s1085,Movie,Miracle at Midnight,0
s1086,Movie,Miracle in Lane 2,0
s1087,Movie,Miracle Landing on the Hudson,2000000
s1088,Movie,Mission to the Sun,0
s1089,Movie,Moana,150000000
s1090,Movie,Mom's Got a Date with a Vampire,0
s1091,Movie,Monsters University,200000000
s1092,Movie,"Monsters, Inc.",115000000
s1093,Movie,Motocrossed,0
s1094,Movie,Mr. Boogedy,0
s1095,Movie,Mr. Duck Steps Out,0
s1096,Movie,Mr. Mouse Takes a Trip,0
s1097,Movie,Mulan II,0
s1098,TV Show,Muppet Moments,
s1099,Movie,Muppet Treasure Island,31000000
s1100,Movie,Muppets Most Wanted,50000000
s1101,Movie,My Favorite Martian,65000000
s1102,TV Show,My Friends Tigger & Pooh,
s1103,Movie,National Treasure: Book of Secrets,130000000
s1104,Movie,Newsies,15000000
s1105,Movie,Newsies,0
s1106,Movie,Noelle,0
s1107,Movie,Now You See It,0
s1108,Movie,Olaf's Frozen Adventure,0
s1109,Movie,Old Yeller,0
s1110,Movie,Oliver & Company,31000000
s1111,Movie,Once Upon A Mattress,0
s1112,Movie,One Magic Christmas,0
s1113,Movie,One Man Band,0
s1114,Movie,Operation Dumbo Drop,0
s1115,TV Show,Origins: The Journey of Humankind,
s1116,TV Show,Out of the Box,
s1117,Movie,Paris to Pittsburgh,0
s1118,Movie,Partly Cloudy,0
s1119,Movie,Party Central,0
s1120,Movie,Perri,0
s1121,Movie,Pete's Dragon,65000000
s1122,Movie,Peter Pan,4000000
s1123,Movie,Return to Never Land,20000000
s1124,Movie,Phantom of the Megaplex,0
s1125,TV Show,Phil of the Future,
s1126,TV Show,Phineas and Ferb,
s1127,Movie,Phineas and Ferb: The Movie: Across the 2nd Dimension,0
s1128,Movie,Phineas and Ferb: Mission Marvel,0
s1129,Movie,Piglet's Big Movie,46000000
s1130,Movie,Pinocchio,2600000
s1131,Movie,Piper,0
s1132,Movie,Pirates of the Caribbean: At World's End,300000000
s1133,Movie,Pirates of the Caribbean: Dead Man's Chest,200000000
s1134,Movie,Pirates of the Caribbean: The Curse of the Black Pearl,140000000
s1135,TV Show,Pixar in Real Life,
s1136,Movie,Pixel Perfect,0
s1137,Movie,Planet of the Birds,0
s1138,Movie,Pluto and the Gopher,0
s1139,Movie,Pluto's Christmas Tree,0
s1140,Movie,Pluto's Surprise Package,0
s1141,Movie,Pluto's Sweater,0
s1142,Movie,Pocahontas,55000000
s1143,Movie,Pocahontas II: Journey to a New World,0
s1144,Movie,Pollyanna,2500000
s1145,Movie,Pooh's Grand Adventure: The Search for Christopher Robin,0
s1146,Movie,Pooh's Heffalump Movie,20000000
s1147,Movie,Presto,0
s1148,Movie,Princess Protection Program,0
s1149,Movie,Purl,0
s1150,TV Show,Quack Pack,
s1151,Movie,Queen of Katwe,15000000
s1152,Movie,Quints,0
s1153,Movie,Ratatouille,150000000
s1154,Movie,Read It and Weep,0
s1155,Movie,Ready to Run,0
s1156,Movie,Recess: All Growed Down,0
s1157,Movie,Recess: School's Out,10000000
s1158,Movie,Recess: Taking the Fifth Grade,0
s1159,Movie,Red's Dream,0
s1160,Movie,Remember the Titans,30000000
s1161,Movie,Rescue Dog,0
s1162,Movie,Return from Witch Mountain,0
s1163,Movie,Return to Halloweentown,0
s1164,Movie,Return to Oz,25000000
s1165,Movie,Richie Rich's Christmas Wish,6000000
s1166,Movie,Right on Track,0
s1167,Movie,Riley's First Date?,0
s1168,Movie,Rip Girls,0
s1169,Movie,Robin Hood,200000000
s1170,TV Show,Rocky Mountain Animal Rescue,
s1171,Movie,Rogue One: A Star Wars Story,200000000
s1172,Movie,Roving Mars,0
s1173,Movie,Ruby Bridges,0
s1174,Movie,Sacred Planet,0
s1175,Movie,Saludos Amigos,0
s1176,Movie,"Sammy, the Way-Out Seal",0
s1177,Movie,Sanjay's Super Team,0
s1178,Movie,Santa Paws 2: The Santa Pups,0
s1179,Movie,Santa's Workshop,13157
s1180,Movie,Saving Mr. Banks,35000000
s1181,Movie,Science Fair,0
s1182,Movie,Sea of Hope: America's Underwater Treasures,0
s1183,Movie,Secret of the Wings,0
s1184,Movie,Secretariat,35000000
s1185,Movie,Secrets Of Christ's Tomb,0
s1186,Movie,Secrets of Life,0
s1187,Movie,Secrets of the King Cobra,0
s1188,TV Show,Shake It Up,
s1189,Movie,Sharks of Lost Island,0
s1190,Movie,Sharpay's Fabulous Adventure,0
s1191,Movie,Shipwrecked,0
s1192,TV Show,Silver Surfer,
s1193,Movie,The Simpsons Movie,75000000
s1194,Movie,Sister Act,31000000
s1195,Movie,Sister Act 2: Back in the Habit,38000000
s1196,Movie,Skyrunners,0
s1197,Movie,Sleeping Beauty,6000000
s1198,Movie,Smart House,0
s1199,Movie,Smash and Grab,0
s1200,Movie,Snow White and the Seven Dwarfs,1488423
s1201,Movie,Snowball Express,0
s1202,Movie,Snowglobe,0
s1203,TV Show,So Weird,
s1204,Movie,Society Dog Show,0
s1206,TV Show,Spider-Man and His Amazing Friends,
s1207,TV Show,Spider-Man Unlimited,
s1208,TV Show,Spider-Woman,
s1209,TV Show,Star Wars: Forces of Destiny,
s1210,TV Show,Star Wars Rebels,
s1211,TV Show,Star Wars Rebels,
s1212,Movie,Star Wars Episode IV: A New Hope,11000000
s1213,Movie,Star Wars: Episode II - Attack of the Clones,120000000
s1214,TV Show,Star Wars Blips,
s1215,Movie,Return of the Jedi,32350000
s1216,Movie,Star Wars: Episode III - Revenge of the Sith,113000000
s1217,Movie,The Empire Strikes Back,18000000
s1218,Movie,Star Wars: The Force Awakens,245000000
s1219,Movie,Star Wars: Episode I - The Phantom Menace,115000000
s1220,Movie,Starstruck,0
s1221,Movie,Steamboat Willie,4986
s1222,Movie,Stepsister from Planet Weird,0
s1223,Movie,Stitch! The Movie,0
s1224,Movie,Stonehenge: Decoded,0
s1225,Movie,Stuck in the Suburbs,0
s1226,Movie,Sultan And The Rock Star,0
s1227,Movie,Super Buddies,0
s1228,Movie,Swiss Family Robinson,5000000
s1229,TV Show,TaleSpin,
s1230,Movie,Tall Tale,32000000
s1231,Movie,Tangled,260000000
s1232,Movie,Tangled: Before Ever After,0
s1233,Movie,Tarzan & Jane,0
s1234,Movie,Teacher's Pet,10000000
s1235,Movie,Teen Beach 2,0
s1236,Movie,Teen Beach Movie,0
s1237,Movie,Teen Spirit,0
s1238,Movie,That Darn Cat,0
s1239,Movie,That Darn Cat!,0
s1240,Movie,The Absent-Minded Professor,0
s1241,Movie,The Adventures of André and Wally B.,0
s1242,Movie,The Adventures of Bullwhip Griffin,0
s1243,Movie,The Adventures of Huck Finn,6500000
s1244,Movie,The Adventures of Ichabod and Mr. Toad,0
s1245,TV Show,Spin and Marty,
s1246,Movie,The African Lion,0
s1247,Movie,The Apple Dumpling Gang,0
s1248,Movie,The Apple Dumpling Gang Rides Again,0
s1249,Movie,The Aristocats,4000000
s1250,Movie,The Art of Skiing,0
s1251,TV Show,The Avengers: Earth's Mightiest Heroes,
s1252,TV Show,The Avengers: United They Stand,
s1253,Movie,The Band Concert,0
s1254,Movie,The Bears and I,0
s1255,Movie,The Big Bad Wolf,27878
s1256,Movie,The Biscuit Eater,0
s1257,Movie,The Black Cauldron,25000000
s1258,Movie,The Black Hole,20000000
s1259,Movie,The Blue Umbrella,0
s1260,TV Show,The Book of Once Upon a Time,
s1261,TV Show,The Book of Pooh,
s1262,Movie,The Brave Little Toaster Goes to Mars,0
s1263,Movie,The Castaway Cowboy,0
s1264,Movie,The Cheetah Girls,0
s1265,Movie,The Cheetah Girls 2,0
s1266,Movie,The Cheetah Girls: One World,0
s1267,Movie,The Christmas Star,0
s1268,Movie,The Chronicles of Narnia: Prince Caspian,225000000
s1269,Movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000
s1270,Movie,The Color of Friendship,0
s1271,Movie,The Computer Wore Tennis Shoes,0
s1272,Movie,The Country Bears,35000000
s1273,Movie,The Emperor's New Groove,100000000
s1274,Movie,The Even Stevens Movie,0
s1275,Movie,The Flood,3000000
s1276,Movie,The Fox and the Hound,12000000
s1277,Movie,The Fox and the Hound 2,24000000
s1278,Movie,The Game Plan,22000000
s1279,Movie,The Ghosts of Buxley Hall,0
s1280,Movie,The Goddess of Spring,37605
s1281,Movie,The Golden Touch,35458
s1282,Movie,The Good Dinosaur,175000000
s1283,Movie,The Great Muppet Caper,14000000
s1284,Movie,The Greatest Game Ever Played,25000000
s1285,Movie,The Haunted Mansion,90000000
s1286,Movie,The Hockey Champ,0
s1287,Movie,The Hunchback of Notre Dame,100000000
s1288,Movie,The Hunchback of Notre Dame II,0
s1289,TV Show,The Imagineering Story,
s1290,Movie,The Incredible Journey,0
s1291,Movie,The Incredibles,92000000
s1292,Movie,The Journey of Natty Gann,0
s1293,Movie,The Jungle Book 2,20000000
s1294,Movie,The Jungle Book: Mowgli's Story,0
s1295,Movie,The Legend of Mor'du,0
s1296,Movie,The Lion King 1½,0
s1297,Movie,The Lion King II: Simba's Pride,0
s1298,Movie,The Little Mermaid,40000000
s1299,Movie,The Little Mermaid II: Return to the Sea,0
s1300,Movie,The Little Mermaid: Ariel's Beginning,0
s1301,Movie,The Little Whirlwind,0
s1302,Movie,The Living Desert,0
s1303,Movie,The Lizzie McGuire Movie,17000000
s1304,Movie,The Lost Tomb of Alexander the Great,0
s1305,Movie,The Love Bug,0
s1306,Movie,The Many Adventures of Winnie the Pooh,0
s1307,Movie,The Million Dollar Duck,0
s1308,Movie,The Mistle-Tones,0
s1309,Movie,The Muppet Christmas Carol,12000000
s1310,Movie,The Muppet Movie,8000000
s1311,Movie,The Muppets,45000000
s1312,TV Show,The Muppets,
s1313,TV Show,The New Adventures of Winnie the Pooh,
s1314,Movie,The Old Mill,50663
s1315,Movie,The Olympic Champ,0
s1316,Movie,The Parent Trap,15000000
s1317,Movie,The Parent Trap,0
s1318,Movie,The Pied Piper,17145
s1319,Movie,The Plausible Impossible,0
s1320,Movie,The Poof Point,0
s1321,Movie,The Prince and the Pauper,0
s1322,Movie,The Princess and the Frog,105000000
s1323,Movie,The Princess Diaries,37000000
s1324,Movie,The Princess Diaries 2: Royal Engagement,40000000
s1325,Movie,The Proud Family Movie,0
s1326,Movie,The Reluctant Dragon,600
s1327,TV Show,The Replacements,
s1328,Movie,The Rescuers,1200000
s1329,Movie,The Rescuers Down Under,37931000
s1330,Movie,The Rookie,10000000
s1331,Movie,The Santa Clause,22000000
s1332,Movie,The Santa Clause 2,65000000
s1333,Movie,The Santa Clause 3: The Escape Clause,12000000
s1334,Movie,The Scream Team,0
s1335,Movie,The Secret of the Magic Gourd,0
s1336,Movie,The Shaggy D.A.,0
s1337,Movie,The Shaggy Dog,50000000
s1338,Movie,The Sign of Zorro,0
s1339,Movie,The Simple Things,0
s1340,Movie,The Sound of Music,8200000
s1341,Movie,The Story of Robin Hood and His Merrie Men,0
s1342,Movie,The Strongest Man in the World,0
s1343,Movie,The Suite Life Movie,0
s1344,TV Show,The Suite Life of Zack & Cody,
s1345,TV Show,The Suite Life on Deck,
